433,515,517,520,523,
426,433,515,517,523,
402,433,515,517,523,
3163,433,515,517,520,
304,3163,433,515,517,
3163,426,433,515,517,
433,515,517,520,523,
426,433,515,517,523,
402,433,515,517,523,
3163,3443,515,517,523,
3163,484,515,517,523,
3132,3163,515,517,523,
3163,433,515,517,520,
304,3163,433,515,517,
3163,426,433,515,517,
3163,3443,515,517,523,
3163,484,515,517,523,
3132,3163,515,517,523,
369,433,515,517,520,
304,369,433,515,517,
369,426,433,515,517,
3443,369,515,517,523,
369,484,515,517,523,
3132,369,515,517,523,
3161,433,515,517,520,
3161,426,433,515,517,
3161,402,433,515,517,
3161,3443,515,517,523,
3161,484,515,517,523,
3161,515,517,520,523,
3443,379,433,515,517,
3443,433,515,517,520,
337,3443,433,515,517,
3163,3443,515,517,523,
3443,369,515,517,523,
3161,3443,515,517,523,
433,509,515,517,520,
426,433,509,515,517,
402,433,509,515,517,
3443,509,515,517,523,
484,509,515,517,523,
456,509,515,517,523,
3443,379,433,515,517,
379,433,515,517,520,
304,379,433,515,517,
3443,379,515,517,523,
379,484,515,517,523,
3132,379,515,517,523,
433,484,515,517,520,
324,433,484,515,517,
433,484,515,517,539,
3163,484,515,517,523,
369,484,515,517,523,
3161,484,515,517,523,
3132,433,515,517,520,
3132,324,433,515,517,
304,3132,433,515,517,
3132,3163,515,517,523,
3132,369,515,517,523,
3132,3443,515,517,523,
433,456,515,517,520,
324,433,456,515,517,
304,433,456,515,517,
3163,456,515,517,523,
369,456,515,517,523,
3443,456,515,517,523,
433,515,517,520,523,
3163,433,515,517,520,
369,433,515,517,520,
433,515,517,520,523,
3163,515,517,520,523,
369,515,517,520,523,
3323,433,515,517,520,
3323,426,433,515,517,
3323,402,433,515,517,
3323,3443,515,517,523,
3323,515,517,520,523,
3323,337,515,517,523,
356,433,515,517,520,
356,426,433,515,517,
356,402,433,515,517,
3443,356,515,517,523,
356,515,517,520,523,
3233,356,515,517,523,
3233,433,515,517,520,
3233,433,444,515,517,
3233,324,433,515,517,
3163,3233,515,517,523,
3233,369,515,517,523,
3161,3233,515,517,523,
173,433,515,517,520,
173,324,433,515,517,
173,304,433,515,517,
173,3163,515,517,523,
173,3443,515,517,523,
173,379,515,517,523,
337,3443,433,515,517,
337,433,515,517,520,
337,3472,433,515,517,
3163,337,515,517,523,
337,369,515,517,523,
3161,337,515,517,523,
433,515,517,520,529,
426,433,515,517,529,
3443,515,517,523,529,
484,515,517,523,529,
3132,515,517,523,529,
368,433,515,517,520,
368,426,433,515,517,
368,402,433,515,517,
3443,368,515,517,523,
368,484,515,517,523,
3132,368,515,517,523,
358,433,515,517,520,
358,426,433,515,517,
358,402,433,515,517,
3443,358,515,517,523,
358,484,515,517,523,
3132,358,515,517,523,
433,499,515,517,520,
426,433,499,515,517,
402,433,499,515,517,
3443,499,515,517,523,
499,515,517,520,523,
337,499,515,517,523,
3151,433,515,517,520,
3151,426,433,515,517,
